'RieszEuclidean.representsCorrelation_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.represents_hullCorrelation_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integrable_fourierChar' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation.add' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.RepresentsCorrelation.smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.spectralMeasure_parallelogram' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.spectralMeasure_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integrable_unitary_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitary' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_integratedUnitary_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitaryLinear' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitaryCLM' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitaryCLM_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.norm_integratedUnitaryCLM_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitary_congr_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'RieszEuclidean.integratedUnitary_norm_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
